timestamp,stage,model,prompt_tokens,completion_tokens,latency_ms,cache_hit,image_count
2026-06-19T15:38:10.858018+00:00,claim_extraction,gpt-4.1-mini,616,35,1924.4,False,0
2026-06-19T15:38:14.307306+00:00,vision_verification,gpt-4.1-mini,1732,133,3444.1,False,1
2026-06-19T15:38:15.454957+00:00,claim_extraction,gpt-4.1-mini,609,35,1142.5,False,0
2026-06-19T15:38:18.627424+00:00,vision_verification,gpt-4.1-mini,1703,164,3166.4,False,2
2026-06-19T15:38:19.961122+00:00,claim_extraction,gpt-4.1-mini,602,39,1328.9,False,0
2026-06-19T15:38:25.489699+00:00,vision_verification,gpt-4.1-mini,3436,162,5520.1,False,2
2026-06-19T15:38:32.553131+00:00,single_pass,gpt-4.1-mini,1635,432,7051.3,False,1
2026-06-19T15:38:39.495132+00:00,single_pass,gpt-4.1-mini,1606,454,6934.4,False,2
2026-06-19T15:38:49.187931+00:00,single_pass,gpt-4.1-mini,3403,432,9689.1,False,2
2026-06-19T15:45:26.653888+00:00,claim_extraction,gpt-4.1-mini,0,0,0.0,True,0
2026-06-19T15:45:30.155718+00:00,vision_verification,gpt-4.1-mini,1741,134,3499.1,False,1
2026-06-19T15:45:30.161219+00:00,claim_extraction,gpt-4.1-mini,0,0,0.0,True,0
2026-06-19T15:45:33.070576+00:00,vision_verification,gpt-4.1-mini,1712,158,2905.2,False,2
2026-06-19T15:45:33.078509+00:00,claim_extraction,gpt-4.1-mini,0,0,0.0,True,0
2026-06-19T15:45:38.010634+00:00,vision_verification,gpt-4.1-mini,3452,161,4919.9,False,2
2026-06-19T15:45:39.163757+00:00,claim_extraction,gpt-4.1-mini,598,34,1149.5,False,0
2026-06-19T15:45:41.316356+00:00,vision_verification,gpt-4.1-mini,1354,134,2146.5,False,1
2026-06-19T15:45:42.497610+00:00,claim_extraction,gpt-4.1-mini,605,34,1176.4,False,0
2026-06-19T15:45:45.519651+00:00,vision_verification,gpt-4.1-mini,1815,172,3017.8,False,2
2026-06-19T15:45:46.587722+00:00,claim_extraction,gpt-4.1-mini,704,33,1061.8,False,0
2026-06-19T15:45:49.562419+00:00,vision_verification,gpt-4.1-mini,1842,149,2968.9,False,1
2026-06-19T15:45:50.733760+00:00,claim_extraction,gpt-4.1-mini,601,33,1165.0,False,0
2026-06-19T15:45:56.988091+00:00,vision_verification,gpt-4.1-mini,3268,174,6245.5,False,2
2026-06-19T15:45:58.002369+00:00,claim_extraction,gpt-4.1-mini,603,32,1011.9,False,0
2026-06-19T15:46:01.896667+00:00,vision_verification,gpt-4.1-mini,2723,145,3886.2,False,1
2026-06-19T15:46:03.126785+00:00,claim_extraction,gpt-4.1-mini,581,36,1226.5,False,0
2026-06-19T15:46:06.855644+00:00,vision_verification,gpt-4.1-mini,2136,130,3722.4,False,1
2026-06-19T15:46:07.868791+00:00,claim_extraction,gpt-4.1-mini,580,35,1008.4,False,0
2026-06-19T15:46:11.829982+00:00,vision_verification,gpt-4.1-mini,1896,169,3954.0,False,2
2026-06-19T15:46:12.828151+00:00,claim_extraction,gpt-4.1-mini,576,35,992.9,False,0
2026-06-19T15:46:15.399590+00:00,vision_verification,gpt-4.1-mini,1743,134,2565.6,False,1
2026-06-19T15:46:16.440059+00:00,claim_extraction,gpt-4.1-mini,579,32,1035.9,False,0
2026-06-19T15:46:25.959083+00:00,vision_verification,gpt-4.1-mini,4065,180,9508.3,False,2
2026-06-19T15:46:26.985832+00:00,claim_extraction,gpt-4.1-mini,689,32,1022.4,False,0
2026-06-19T15:46:31.285690+00:00,vision_verification,gpt-4.1-mini,2746,139,4294.8,False,1
2026-06-19T15:46:32.292337+00:00,claim_extraction,gpt-4.1-mini,583,36,1004.6,False,0
2026-06-19T15:46:35.457243+00:00,vision_verification,gpt-4.1-mini,2121,148,3160.8,False,1
2026-06-19T15:46:36.509423+00:00,claim_extraction,gpt-4.1-mini,566,35,1049.7,False,0
2026-06-19T15:46:40.504554+00:00,vision_verification,gpt-4.1-mini,2103,131,3989.7,False,1
2026-06-19T15:46:41.518152+00:00,claim_extraction,gpt-4.1-mini,583,33,1009.1,False,0
2026-06-19T15:46:44.842633+00:00,vision_verification,gpt-4.1-mini,2013,149,3318.0,False,2
2026-06-19T15:46:46.033853+00:00,claim_extraction,gpt-4.1-mini,573,35,1185.5,False,0
2026-06-19T15:46:50.234419+00:00,vision_verification,gpt-4.1-mini,2323,139,4194.0,False,1
2026-06-19T15:46:51.247730+00:00,claim_extraction,gpt-4.1-mini,573,30,1008.7,False,0
